lineNo,url,direction,from,to
92,https://tfl.gov.uk/bus/route/92?direction=inbound,inbound,Ikea Brent Park / Panther Drive,Ealing Hospital
93,https://tfl.gov.uk/bus/route/93?direction=outbound,outbound,Priory Road,Putney Bridge Station
94,https://tfl.gov.uk/bus/route/94?direction=outbound,outbound,Acton Green,Charles I I Street
94,https://tfl.gov.uk/bus/route/94?direction=inbound,inbound,Charles I I Street,Acton Green
95,https://tfl.gov.uk/bus/route/95?direction=inbound,inbound,Shepherd's Bush Station,Southall Town Hall
95,https://tfl.gov.uk/bus/route/95?direction=outbound,outbound,Southall Broadway,Shepherds Bush Green
96,https://tfl.gov.uk/bus/route/96?direction=outbound,outbound,Bluewater Shopping Centre,Thomas Street
97,https://tfl.gov.uk/bus/route/97?direction=inbound,inbound,Stratford City Bus Station,Chingford Station
97,https://tfl.gov.uk/bus/route/97?direction=outbound,outbound,Chingford Station,Stratford City Bus Station
96,https://tfl.gov.uk/bus/route/96?direction=inbound,inbound,Thomas Street / Greens End,Bluewater Shopping Centre
98,https://tfl.gov.uk/bus/route/98?direction=outbound,outbound,Pound Lane / Willesden Bus Garage,Red Lion Square
98,https://tfl.gov.uk/bus/route/98?direction=inbound,inbound,Red Lion Square,Pound Lane
99,https://tfl.gov.uk/bus/route/99?direction=outbound,outbound,Woolwich High Street,Geddes Place
99,https://tfl.gov.uk/bus/route/99?direction=inbound,inbound,Mayplace Rd West / Bexleyheath Clock Twr,Beresford Sq / Woolwich Arsenal Stn
100,https://tfl.gov.uk/bus/route/100?direction=outbound,outbound,King Edward Street / St Pauls Station,St George's Town Hall / Shadwell Stn
101,https://tfl.gov.uk/bus/route/101?direction=outbound,outbound,Woodbine Place,Beckton Bus Station
102,https://tfl.gov.uk/bus/route/102?direction=outbound,outbound,Edmonton Green Bus Station,Brent Cross Shopping Centre
100,https://tfl.gov.uk/bus/route/100?direction=inbound,inbound,St George's Town Hall / Shadwell Stn,King Edward Street / St Pauls Station
103,https://tfl.gov.uk/bus/route/103?direction=inbound,inbound,Rainham Interchange,Chase Cross
103,https://tfl.gov.uk/bus/route/103?direction=outbound,outbound,Chase Cross,Rainham Station
101,https://tfl.gov.uk/bus/route/101?direction=inbound,inbound,Beckton Bus Station,Woodbine Place
104,https://tfl.gov.uk/bus/route/104?direction=outbound,outbound,Stratford Bus Station,Beckton Bus Station
104,https://tfl.gov.uk/bus/route/104?direction=inbound,inbound,Beckton Bus Station,Stratford Bus Station
102,https://tfl.gov.uk/bus/route/102?direction=inbound,inbound,Brent Cross Shopping Centre,Edmonton Green Bus Station
105,https://tfl.gov.uk/bus/route/105?direction=outbound,outbound,Rockware Avenue / Greenford Station,Heathrow Central Bus Station
93,https://tfl.gov.uk/bus/route/93?direction=inbound,inbound,Putney Bridge Station,Priory Road
106,https://tfl.gov.uk/bus/route/106?direction=outbound,outbound,Finsbury Park Interchange,Cavell Street
105,https://tfl.gov.uk/bus/route/105?direction=inbound,inbound,Heathrow Central Bus Station,Greenford Station
106,https://tfl.gov.uk/bus/route/106?direction=inbound,inbound,Cavell Street,Finsbury Park Interchange
107,https://tfl.gov.uk/bus/route/107?direction=outbound,outbound,Edgware Bus Station,New Barnet Station
107,https://tfl.gov.uk/bus/route/107?direction=inbound,inbound,New Barnet Station,Edgware Station
108,https://tfl.gov.uk/bus/route/108?direction=outbound,outbound,Stratford International Station,Lewisham Station
108,https://tfl.gov.uk/bus/route/108?direction=inbound,inbound,Molesworth Street / Riverdale House,Stratford International Station
109,https://tfl.gov.uk/bus/route/109?direction=outbound,outbound,Croydon Library,Brixton Station
109,https://tfl.gov.uk/bus/route/109?direction=inbound,inbound,Brixton Road / Brixton Police Station,Park Street
110,https://tfl.gov.uk/bus/route/110?direction=outbound,outbound,School Road,Hammersmith Bus Station
110,https://tfl.gov.uk/bus/route/110?direction=inbound,inbound,Hammersmith Bus Station,Hounslow Bus Station
112,https://tfl.gov.uk/bus/route/112?direction=inbound,inbound,North Finchley Bus Station,Haven Grn / Ealing Broadway Stn
112,https://tfl.gov.uk/bus/route/112?direction=outbound,outbound,Haven Grn / Ealing Broadway Stn,Tally Ho Corner
111,https://tfl.gov.uk/bus/route/111?direction=outbound,outbound,Heathrow Central Bus Station,Kingston / Wood Street
114,https://tfl.gov.uk/bus/route/114?direction=outbound,outbound,Mill Hill Broadway Station,Ruislip Station
113,https://tfl.gov.uk/bus/route/113?direction=inbound,inbound,Marble Arch Station,Edgware Station
113,https://tfl.gov.uk/bus/route/113?direction=outbound,outbound,Edgware Bus Station,Marble Arch Station
114,https://tfl.gov.uk/bus/route/114?direction=inbound,inbound,Ruislip Station,Mill Hill Broadway Station
111,https://tfl.gov.uk/bus/route/111?direction=inbound,inbound,Kingston Station,Heathrow Central Bus Station
